tool,source,organism,reference_target,reference_target_type,index_prefix
bowtie2,wormbase,c_elegans,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,c_elegans,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,c_elegans,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,c_elegans,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,c_elegans,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,b_malayi,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,b_malayi,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,b_malayi,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,b_malayi,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,b_malayi,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,c_brenneri,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,c_brenneri,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,c_brenneri,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,c_brenneri,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,c_brenneri,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,c_briggsae,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,c_briggsae,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,c_briggsae,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,c_briggsae,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,c_briggsae,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,c_japonica,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,c_japonica,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,c_japonica,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,c_japonica,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,c_japonica,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,c_remanei,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,c_remanei,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,c_remanei,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,c_remanei,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,c_remanei,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,o_volvulus,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,o_volvulus,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,o_volvulus,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,o_volvulus,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,o_volvulus,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,p_pacificus,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,p_pacificus,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,p_pacificus,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,p_pacificus,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,p_pacificus,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined
bowtie2,wormbase,s_ratti,genomic,genome,bowtie2-wormbase-genomic
bowtie2,wormbase,s_ratti,mRNA_transcripts,transcriptome,bowtie2-wormbase-mRNA_transcripts
bowtie2,wormbase,s_ratti,ncRNA_transcripts,transcriptome,bowtie2-wormbase-ncRNA_transcripts
bowtie2,wormbase,s_ratti,pseudogenic_transcripts,transcriptome,bowtie2-wormbase-pseudogenic_transcripts
bowtie2,wormbase,s_ratti,transcriptome_joined,transcriptome,bowtie2-wormbase-transcriptome_joined

