tool,source,organism,reference_target,reference_target_type,index_prefix
kallisto,ensembl,caenorhabditis_elegans,cdna,transcriptome,kallisto-ensembl-cdna
kallisto,ensembl,caenorhabditis_elegans,ncrna,transcriptome,kallisto-ensembl-ncrna
kallisto,ensembl,caenorhabditis_elegans,cds,transcriptome,kallisto-ensembl-cds

kallisto,ensembl,danio_rerio,cdna,transcriptome,kallisto-ensembl-cdna
kallisto,ensembl,danio_rerio,ncrna,transcriptome,kallisto-ensembl-ncrna
kallisto,ensembl,danio_rerio,cds,transcriptome,kallisto-ensembl-cds

kallisto,ensembl,drosophila_melanogaster,cdna,transcriptome,kallisto-ensembl-cdna
kallisto,ensembl,drosophila_melanogaster,ncrna,transcriptome,kallisto-ensembl-ncrna
kallisto,ensembl,drosophila_melanogaster,cds,transcriptome,kallisto-ensembl-cds

kallisto,ensembl,homo_sapiens,cdna,transcriptome,kallisto-ensembl-cdna
kallisto,ensembl,homo_sapiens,ncrna,transcriptome,kallisto-ensembl-ncrna
kallisto,ensembl,homo_sapiens,cds,transcriptome,kallisto-ensembl-cds

kallisto,ensembl,mus_musculus,cdna,transcriptome,kallisto-ensembl-cdna
kallisto,ensembl,mus_musculus,ncrna,transcriptome,kallisto-ensembl-ncrna
kallisto,ensembl,mus_musculus,cds,transcriptome,kallisto-ensembl-cds

kallisto,ensembl,saccharomyces_cerevisiae,cdna,transcriptome,kallisto-ensembl-cdna
kallisto,ensembl,saccharomyces_cerevisiae,ncrna,transcriptome,kallisto-ensembl-ncrna
kallisto,ensembl,saccharomyces_cerevisiae,cds,transcriptome,kallisto-ensembl-cds
