tool,source,organism,reference_target,reference_target_type,index_prefix
kallisto,wormbase,c_elegans,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,c_elegans,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,c_elegans,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,c_elegans,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,b_malayi,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,b_malayi,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,b_malayi,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,b_malayi,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,c_brenneri,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,c_brenneri,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,c_brenneri,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,c_brenneri,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,c_briggsae,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,c_briggsae,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,c_briggsae,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,c_briggsae,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,c_japonica,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,c_japonica,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,c_japonica,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,c_japonica,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,c_remanei,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,c_remanei,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,c_remanei,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,c_remanei,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,o_volvulus,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,o_volvulus,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,o_volvulus,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,o_volvulus,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,p_pacificus,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,p_pacificus,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,p_pacificus,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,p_pacificus,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined

kallisto,wormbase,s_ratti,mRNA_transcripts,transcriptome,kallisto-wormbase-mRNA_transcripts
kallisto,wormbase,s_ratti,ncRNA_transcripts,transcriptome,kallisto-wormbase-ncRNA_transcripts
kallisto,wormbase,s_ratti,pseudogenic_transcripts,transcriptome,kallisto-wormbase-pseudogenic_transcripts
kallisto,wormbase,s_ratti,transcriptome_joined,transcriptome,kallisto-wormbase-transcriptome_joined
